"hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.logFC","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherPval","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherAdjPval"
-2.6091752027365,0.00212641141672638,0.16982294814492
0.779424083208041,0.0353885045465114,0.790393251968905
-0.112246596440931,0.985781521345869,1
-0.495247600406751,0.232424067038948,1
-0.127622275797331,0.89446660241311,1
-0.00862478020372398,0.994625290842882,1
-1.53289941577792,0.125804807585647,1
2.11847406858827,0.16990571561102,1
0.47223011541208,0.947378566092571,1
0.655606624687562,0.172488176544852,1
1.87137777931259,0.0231790350894987,0.650741520390331
0.0206962133550396,0.904750085921019,1
-0.207394015536279,0.589279001499033,1
0.318987475964046,0.778507734372633,1
0.393028578245641,0.54757887354569,1
NA,0.999999999999996,1
0.363345578326306,0.63728894089924,1
0.31566664964203,0.880938053700116,1
-0.239599379556802,0.923976147740651,1
0.373900195104504,0.882022850444042,1
-0.414480611460885,0.646579151478466,1
0.386622995912556,0.775416184310446,1
0.456052369796803,0.660769085732945,1
-0.115020387081009,0.868113952707753,1
