"hurdle_sample_typepoor_brain.logFC","hurdle_sample_typepoor_brain.fisherPval","hurdle_sample_typepoor_brain.fisherAdjPval"
NA,0.152451932831003,0.505074882433824
NA,0.377422340205758,0.608377111689469
0.124813336341619,0.409337676890272,0.625483576206539
1.10386297411555,0.00805551259598604,0.212397042244361
1.46020327823153,0.00719183538044578,0.208985467303806
0.506718619161017,0.116864020475409,0.479891855801651
NA,0.10645758429923,0.472998760899965
-0.139364007832084,0.996542821396772,1
NA,0.848931008648795,0.896556871686597
-0.394496479865317,0.490105549852171,0.660364609731798
0.583297991296984,0.153690963000485,0.506223883516486
0.131985737982762,0.354710340577617,0.608377111689469
NA,0.538073759099414,0.683583221068458
0.616018651517923,0.600888379155326,0.737434842032066
-0.215017175544837,0.137686693853471,0.489206298684781
-0.600258207943911,0.301763949785053,0.577389933059275
NA,0.650432630144561,0.759929926500348
-0.336407640983312,0.165766080250796,0.511526006960372
0.0982929207012177,0.271453731978977,0.552486949406922
NA,0.354822378995941,0.608377111689469
-0.470791948127051,0.177409721715858,0.519014458575962
-0.883760550214843,0.0886598986273733,0.443071165822513
0.0367375818265439,0.9389754920913,0.960913582454217
-0.182535868933493,0.574211607093868,0.714679901060632
-0.398133692691105,0.00221451646949175,0.129178454012589
0.196791048501294,0.719866826232657,0.811777849102492
0.0372565517634417,0.655603483676235,0.762125612863584
0.0511287998548163,0.921550639845871,0.946032477291383
-0.0791331639946196,0.881306352579129,0.916788195074914
0.474786430607639,0.617855590056861,0.749877231220289
-0.296124445342049,0.148632081316514,0.500297436008019
0.405344536158521,0.11642098166281,0.479891855801651
0.265326472208832,0.0995525696769171,0.463002938113226
0.17002687341989,0.413475915011308,0.625483576206539
NA,0.191134500805729,0.520902678419633
NA,0.211976274132994,0.530544606341411
NA,0.538073759099414,0.683583221068458
0.380488693987791,0.126811124575964,0.484063527751216
NA,0.0162319819824311,0.251643461851161
-0.436051803291232,0.0412346663138446,0.347029599642218
-0.294274863028736,0.16409397967245,0.511526006960372
-0.775615108064874,0.253336141537767,0.552486949406922
-0.149126536142946,0.859397896266637,0.902367791079969
-0.378613987003271,0.077816044406392,0.42449990480826
-0.0895206494967221,0.423715743103256,0.625483576206539
0.356721413353604,0.321267069404571,0.580129744032714
NA,0.255029541283634,0.552486949406922
0.0784468368255171,0.78177149021715,0.85794660106904
NA,0.848930995887578,0.896556871686597
NA,0.145695754498721,0.498997638823866
0.308344489681017,0.198941630990117,0.524136389460613
0.811524591608466,0.0756420716222922,0.422451067067711
0.431368942399856,0.162033207760878,0.510811625662432
0.842921374897526,0.00699819389969329,0.207233033962266
0.149276514780763,0.542358225008674,0.686988495928315
0.0204968248023961,0.895997280316987,0.927557473969914
NA,0.147658025056328,0.500128817962061
-0.144906391873463,0.354475640651015,0.608377111689469
0.14917820123193,0.592448159686939,0.731676253446545
