Raw file name - analytical LC-FAIMS-MS/MS run	Raw file name - pre-analytical LC-FAIMS-MS run (TIC normalization)	Cohort	Experiment name for MQ and Prosit	Experiment FP_DDA	Bioreplicate FP_DDA	Folder name FP_DDA	Experiment FP_Booster	Bioreplicate FP_Booster	Folder name FP_Booster	Experiment FP_WWA	Bioreplicate FP_WWA	Folder name FP_WWA
05058_P056507_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056273_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056507	P056507	32	P056507_32	P056507	32	P056507_32	P056507	32	P056507_32
05058_P056508_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056274_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056508	P056508	33	P056508_33	P056508	33	P056508_33	P056508	33	P056508_33
05058_P056509_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056275_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056509	P056509	34	P056509_34	P056509	34	P056509_34	P056509	34	P056509_34
05058_P056510_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056276_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056510	P056510	35	P056510_35	P056510	35	P056510_35	P056510	35	P056510_35
05058_P056511_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056277_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056511	P056511	36	P056511_36	P056511	36	P056511_36	P056511	36	P056511_36
05058_P056512_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056278_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056512	P056512	37	P056512_37	P056512	37	P056512_37	P056512	37	P056512_37
05058_P056513_15SPD_FMS-30-40-50-60-70_R2.raw	05043_P056279_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056513	P056513	38	P056513_38	P056513	38	P056513_38	P056513	38	P056513_38
05058_P056514_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056280_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056514	P056514	39	P056514_39	P056514	39	P056514_39	P056514	39	P056514_39
05058_P056515_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056281_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056515	P056515	40	P056515_40	P056515	40	P056515_40	P056515	40	P056515_40
05058_P056516_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056282_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056516	P056516	41	P056516_41	P056516	41	P056516_41	P056516	41	P056516_41
05058_P056517_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056283_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056517	P056517	42	P056517_42	P056517	42	P056517_42	P056517	42	P056517_42
05058_P056518_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056284_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056518	P056518	43	P056518_43	P056518	43	P056518_43	P056518	43	P056518_43
05058_P056519_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056285_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056519	P056519	44	P056519_44	P056519	44	P056519_44	P056519	44	P056519_44
05058_P056520_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056286_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056520	P056520	45	P056520_45	P056520	45	P056520_45	P056520	45	P056520_45
05058_P056521_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056287_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056521	P056521	46	P056521_46	P056521	46	P056521_46	P056521	46	P056521_46
05058_P056522_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056288_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056522	P056522	47	P056522_47	P056522	47	P056522_47	P056522	47	P056522_47
05058_P056523_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056289_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056523	P056523	48	P056523_48	P056523	48	P056523_48	P056523	48	P056523_48
05058_P056524_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056290_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056524	P056524	49	P056524_49	P056524	49	P056524_49	P056524	49	P056524_49
05058_P056525_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056291_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056525	P056525	50	P056525_50	P056525	50	P056525_50	P056525	50	P056525_50
05058_P056526_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056292_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056526	P056526	51	P056526_51	P056526	51	P056526_51	P056526	51	P056526_51
05058_P056527_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056293_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056527	P056527	52	P056527_52	P056527	52	P056527_52	P056527	52	P056527_52
05058_P056528_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056294_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056528	P056528	53	P056528_53	P056528	53	P056528_53	P056528	53	P056528_53
05058_P056531_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056297_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056531	P056531	54	P056531_54	P056531	54	P056531_54	P056531	54	P056531_54
05058_P056532_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056298_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056532	P056532	55	P056532_55	P056532	55	P056532_55	P056532	55	P056532_55
05058_P056533_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056299_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056533	P056533	56	P056533_56	P056533	56	P056533_56	P056533	56	P056533_56
05058_P056534_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056300_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056534	P056534	57	P056534_57	P056534	57	P056534_57	P056534	57	P056534_57
05058_P056535_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056301_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056535	P056535	58	P056535_58	P056535	58	P056535_58	P056535	58	P056535_58
05058_P056536_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056302_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056536	P056536	59	P056536_59	P056536	59	P056536_59	P056536	59	P056536_59
05058_P056537_15SPD_FMS-30-40-50-60-70_R2.raw	05043_P056303_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056537	P056537	60	P056537_60	P056537	60	P056537_60	P056537	60	P056537_60
05058_P056538_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056304_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056538	P056538	61	P056538_61	P056538	61	P056538_61	P056538	61	P056538_61
05058_P056539_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056305_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056539	P056539	62	P056539_62	P056539	62	P056539_62	P056539	62	P056539_62
05058_P056540_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056306_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056540	P056540	63	P056540_63	P056540	63	P056540_63	P056540	63	P056540_63
05058_P056541_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056307_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056541	P056541	64	P056541_64	P056541	64	P056541_64	P056541	64	P056541_64
05058_P056542_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056308_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056542	P056542	65	P056542_65	P056542	65	P056542_65	P056542	65	P056542_65
05058_P056543_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056309_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056543	P056543	66	P056543_66	P056543	66	P056543_66	P056543	66	P056543_66
05058_P056544_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056310_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056544	P056544	67	P056544_67	P056544	67	P056544_67	P056544	67	P056544_67
05058_P056546_15SPD_FMS-30-40-50-60-70_R3.raw	05043_P056312_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056546	P056546	68	P056546_68	P056546	68	P056546_68	P056546	68	P056546_68
05058_P056547_15SPD_FMS-30-40-50-60-70_R3.raw	05043_P056313_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056547	P056547	69	P056547_69	P056547	69	P056547_69	P056547	69	P056547_69
05058_P056548_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056314_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056548	P056548	70	P056548_70	P056548	70	P056548_70	P056548	70	P056548_70
05058_P056549_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056315_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056549	P056549	71	P056549_71	P056549	71	P056549_71	P056549	71	P056549_71
05058_P056550_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056316_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056550	P056550	72	P056550_72	P056550	72	P056550_72	P056550	72	P056550_72
05058_P056551_15SPD_FMS-30-40-50-60-70_R3.raw	05043_P056317_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056551	P056551	73	P056551_73	P056551	73	P056551_73	P056551	73	P056551_73
05058_P056552_15SPD_FMS-30-40-50-60-70_R3.raw	05043_P056318_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056552	P056552	74	P056552_74	P056552	74	P056552_74	P056552	74	P056552_74
05058_P056553_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056319_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056553	P056553	75	P056553_75	P056553	75	P056553_75	P056553	75	P056553_75
