"Protein.Groups","sample_typepoor.logFC","sample_typepoor.adjPval"
"ACTBL_HUMAN;ACTBM_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN",NA,NA
"ACTBM_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",0.304145648948344,0.786438783794407
"ACTBM_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTS_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",0.652791053585869,0.373550015657815
"ACTBM_HUMAN;ACTB_HUMAN;ACTG_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",NA,NA
"ACTBM_HUMAN;ACTB_HUMAN;ACTG_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",-0.0462550577015588,0.980987662044179
"ACTC_HUMAN;ACTH_HUMAN;ACTS_HUMAN",-1.64160981059461,0.367654426971523
"ACTG_HUMAN",NA,NA
"ACTN1_HUMAN",0.105828449497315,0.7594769276542
"ACTN1_HUMAN;ACTN2_HUMAN",-0.25046322268594,0.677571915806215
"ACTN1_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN",-0.450440262291937,0.435140677095595
"ACTN1_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN;ACTN4_HUMAN",0.431707756678385,0.253540043351161
"ACTN1_HUMAN;ACTN2_HUMAN;ACTN4_HUMAN",0.309911627020766,0.711801641278895
"ACTN1_HUMAN;ACTN3_HUMAN;ACTN4_HUMAN",0.245772923682128,0.775965734855493
"ACTN1_HUMAN;ACTN4_HUMAN",0.295633602536681,0.415614516118581
"ACTN2_HUMAN",-0.518046423883551,0.463926259037209
"ACTN2_HUMAN;ACTN3_HUMAN",0.503851248818305,0.237966386992987
"ACTN4_HUMAN",0.487890839391147,0.27975068614433
"ACTN4_HUMAN;SPTN4_HUMAN",0.766352560908283,0.0921404903715485
"ACTS_HUMAN",-0.124455903347507,0.933942070180036
"ACTY_HUMAN",-0.572922111977226,0.453419154736284
"ACTY_HUMAN;ACTZ_HUMAN",1.27390266727424,0.116308927210592
"ACTZ_HUMAN",0.0152155785051185,0.988830143319493
"ACY1_HUMAN",0.703313161906424,0.289639676266361
"ACY2_HUMAN",-0.415815348098733,0.62523425155891
"ACYP1_HUMAN",-0.32850731842171,0.62111338589955
"ACYP2_HUMAN",0.159417078091923,0.788508416449069
"ADA_HUMAN",0.735134397180917,0.235564187373476
"ADA10_HUMAN",-0.33934918519348,0.428476956195687
"ADA11_HUMAN",0.00723072278350475,0.990666266359024
"ADA2_HUMAN",NA,NA
"ADA22_HUMAN",-0.292701469602665,0.700221497329442
"ADA23_HUMAN",-0.151063327866666,0.699048692925008
"ADAP1_HUMAN",0.149399843204029,0.660829610446239
"ADAS_HUMAN",0.730350750013989,0.464028891970343
"ADCY1_HUMAN",NA,NA
"ADCY9_HUMAN",-0.343182304939905,0.661243292961952
"ADDA_HUMAN",-0.0253915573397787,0.982920793414658
"ADDA_HUMAN;ADDB_HUMAN",-1.67107521796263,0.0627190477493547
"ADDB_HUMAN",-0.538153409271507,0.672023172951268
"ADDG_HUMAN",-0.0165774332748304,0.985524130728285
"ADHX_HUMAN",0.123342724953386,0.855115255753472
"ADK_HUMAN",0.454608272338771,0.199009679984437
"ADNP_HUMAN",NA,NA
"ADPGK_HUMAN",NA,NA
"ADPPT_HUMAN",0.403982079467541,0.205263757533969
"ADPRS_HUMAN",-0.19970046224938,0.506449613553103
"ADRM1_HUMAN",NA,NA
"ADRO_HUMAN",-0.710664637048446,0.0105101628193494
"ADSV_HUMAN",0.374614242944638,0.679826810972342
"ADT1_HUMAN",-1.17529897922651,0.27975068614433
"ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN",-1.75229665729392,0.082978280655773
"ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN;ADT4_HUMAN",0.560422493829239,0.37388423282752
"ADT1_HUMAN;ADT3_HUMAN",-0.236783224041594,0.818941188439757
"ADT2_HUMAN",0.362257051606893,0.586490100579494
"ADT2_HUMAN;ADT3_HUMAN",-0.67247419383995,0.374440635143721
"ADT3_HUMAN",0.0399576459643153,0.982920793414658
"AEBP1_HUMAN",-0.934291549476318,0.339769857743917
"AEDO_HUMAN",-0.14774530942547,0.79542570082836
"AF1L2_HUMAN",NA,NA
"AFAD_HUMAN",-0.40077471612481,0.276546290778746
"AFAM_HUMAN",0.749034337514785,0.210441465602656
"AFF3_HUMAN",NA,NA
"AFG1L_HUMAN",0.0991320228662633,0.867448911543559
"AFG2H_HUMAN;PRS8_HUMAN",0.70016797568945,0.229651084799946
"AFG32_HUMAN",0.27950955378559,0.62155901640926
"AFG32_HUMAN;ANK2_HUMAN",NA,NA
"AGAL_HUMAN",NA,NA
"AGAP1_HUMAN",-0.0710054900155433,0.933723568524237
"AGAP1_HUMAN;AGAP3_HUMAN",-0.387249900719331,0.609001887689433
"AGAP2_HUMAN",0.126126116514144,0.70585498681122
"AGAP3_HUMAN",0.351787538751579,0.325962780877336
"AGFG1_HUMAN",0.12635572722499,0.6507105372734
"AGFG2_HUMAN",NA,NA
"AGK_HUMAN",0.26015727892113,0.652722334921674
"AGM1_HUMAN",0.194997633021789,0.627981808489673
"AGRB1_HUMAN",-0.558166552146289,0.480690588915944
"AGRB2_HUMAN",-0.0262063922679427,0.983026828540565
"AGRB3_HUMAN",NA,NA
"AGRG1_HUMAN",-0.981684759097838,0.0900945945659159
"AGRIN_HUMAN",0.319930549553362,0.501422611700631
"AGRL1_HUMAN",0.126269704328818,0.808031543594499
"AGRL3_HUMAN",-0.0250946320172295,0.968032660304001
"AHNK_HUMAN",0.494834529331014,0.454467972965477
"AHNK2_HUMAN",-0.363878243197622,0.520993323294618
"AHSA1_HUMAN",0.00852699868644481,0.98888134321389
"AHSP_HUMAN",NA,NA
"AIDA_HUMAN",0.245437357369871,0.542403320830205
"AIF1_HUMAN",0.564718434747265,0.459929557860223
"AIF1L_HUMAN",0.468024132614518,0.596400950519306
"AIFM1_HUMAN",0.120278292988281,0.709751173442216
"AIFM3_HUMAN",0.311125884071857,0.363695152119159
"AIMP1_HUMAN",0.454389347956655,0.1907823717927
"AIMP2_HUMAN",1.1432625771048,0.251891762925205
"AINX_HUMAN",-0.355770320946391,0.808728990483957
"AINX_HUMAN;DESM_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN;VIME_HUMAN",0.0945409453126475,0.933826456517181
"AINX_HUMAN;DESM_HUMAN;NFM_HUMAN;VIME_HUMAN",0.371267862845819,0.701110045528787
"AINX_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN",-0.544700088404322,0.71721662469311
"AINX_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN;VIME_HUMAN",1.23260268088178,0.776122073938269
"AIP_HUMAN",0.794057883168963,0.020168337450731
"AJAP1_HUMAN",NA,NA
"AK1A1_HUMAN",0.114009470823357,0.744790568754605
"AK1C3_HUMAN",-0.142299617534661,0.823785339189793
"AKA10_HUMAN",0.072273320270756,0.896603482178007
"AKA12_HUMAN",-0.452274748797512,0.267727495320312
"AKAP5_HUMAN",0.0968072829970479,0.93277277985819
"AKAP8_HUMAN",NA,NA
"AKAP9_HUMAN",NA,NA
"AKCL2_HUMAN",0.161691465167228,0.581471386339753
"AKT1_HUMAN",0.42053207672404,0.379399794278912
"AKT1_HUMAN;AKT2_HUMAN;AKT3_HUMAN",NA,NA
"AKT1_HUMAN;AKT3_HUMAN",-0.0566878756292903,0.937439874358373
"AKT3_HUMAN",0.202602421558286,0.679826810972342
"AL1A1_HUMAN",-0.279903126980836,0.391980722756835
"AL1A3_HUMAN",0.979598733470401,0.306493087727164
"AL1B1_HUMAN",-0.348228780719115,0.319103684973029
"AL1L1_HUMAN",-0.682327094144108,0.248731363947865
"AL1L1_HUMAN;AL1L2_HUMAN",-0.522598057727128,0.34340018389974
"AL1L2_HUMAN",NA,NA
"AL3A2_HUMAN",0.0126488319633982,0.980987662044179
"AL4A1_HUMAN",-0.768328007405263,0.103510846229138
"AL7A1_HUMAN",-0.214833574833576,0.700221497329442
"AL9A1_HUMAN",-0.17219929410352,0.715068013077295
"ALBU_HUMAN",0.779802003396212,0.116212806520931
"ALBU_HUMAN;CONTAMINANT_ALBU_BOVIN",0.549452551731242,0.356742447475361
"ALDH2_HUMAN",-0.256846646331343,0.762238478224938
"ALDOA_HUMAN",-0.0741683023060109,0.944856316939331
"ALDOA_HUMAN;ALDOC_HUMAN;CONTAMINANT_ALDOA_RABIT",-1.26003822364138,0.149593019753394
"ALDOA_HUMAN;CONTAMINANT_ALDOA_RABIT",0.0236111637456135,0.983023408994101
"ALDOC_HUMAN",-0.275221091780549,0.839209755990956
"ALDR_HUMAN",-0.0282927691355944,0.963824970320833
"ALG11_HUMAN",0.969296311862898,0.539893531692719
"ALG2_HUMAN",-0.0889643495934044,0.857076786846444
"ALG5_HUMAN",0.995386390922667,0.233071296843749
"ALG9_HUMAN",NA,NA
"ALR_HUMAN",0.398700127962623,0.588947408091851
"ALS_HUMAN",NA,NA
"AMBP_HUMAN",-2.24253762376279,0.0443908320948775
"AMD_HUMAN",0.0236087867593148,0.968032660304001
"AMER2_HUMAN",-0.697181253814692,0.503256442236237
"AMOT_HUMAN",-0.379951989607179,0.59259481893035
"AMPB_HUMAN",0.489927411632236,0.475608199854969
"AMPD2_HUMAN",0.182092113432326,0.633460025514834
"AMPE_HUMAN",NA,NA
"AMPH_HUMAN",0.0933844272033603,0.942461722371104
"AMPL_HUMAN",0.327715356844021,0.578611832481056
"AMPN_HUMAN",NA,NA
"AMRP_HUMAN",0.0928203326321251,0.870797157617297
"AN32A_HUMAN",1.5744670333274,0.0764375305244126
"AN32A_HUMAN;AN32B_HUMAN",0.460320509731989,0.595834593953668
