"Protein.Groups","sample_typenot_brain.logFC","sample_typenot_brain.pval","sample_typenot_brain.adjPval"
"ALDOA_HUMAN;ALDOC_HUMAN;CONTAMINANT_ALDOA_RABIT",0.114985733375812,0.84127219416218,0.916162893939229
"ALDOA_HUMAN;CONTAMINANT_ALDOA_RABIT",-1.20076430210179,0.00152736016804145,0.0222436976853656
"ALDOC_HUMAN",-1.28030378000714,0.0355248291500373,0.133118511337263
"ALG9_HUMAN",NA,NA,NA
"ALR_HUMAN",NA,NA,NA
"AMOT_HUMAN",0.400528867556913,0.246297777982076,0.426373983582178
"AMPB_HUMAN",-0.930033594980195,0.018498564522539,0.0902788986671784
"AMPD2_HUMAN",-0.639631843255092,0.00134099209824291,0.0203365330601301
"AN32A_HUMAN",-1.75824937094126,0.00237976636257137,0.0283563069825874
"AN32A_HUMAN;AN32B_HUMAN",-0.692028212331897,0.118355366708249,0.264211797943596
"AN32E_HUMAN",-1.49815656235215,0.0434415891097004,0.148722604508023
"ANK2_HUMAN",-0.866010778596134,0.217358894619999,0.393735016414312
"ANK2_HUMAN;ANK3_HUMAN",-0.493274558715612,0.41097040025551,0.587452909100668
"ANKH1_HUMAN",NA,NA,NA
"ANKH1_HUMAN;ANR17_HUMAN",NA,NA,NA
"ANM1_HUMAN",-1.27376505109149,0.00756482608716818,0.0566590035508311
"ANM1_HUMAN;ANM8_HUMAN",-0.647851738626247,0.212792553553638,0.387489147326118
"ANM5_HUMAN",-0.512605866718924,0.0153102196851293,0.0838634421558575
"ANM8_HUMAN",-0.0344962152198909,0.92855929448101,0.962819928767409
"ANR17_HUMAN",NA,NA,NA
"ANR29_HUMAN",0.285428002442439,0.311259741988588,0.490267490600051
"ANR44_HUMAN",-0.26151455858954,0.364748005782897,0.543714533396927
"ANS1B_HUMAN",0.461408706146984,0.109950415845973,0.252198766346701
"ANXA2_HUMAN",-0.0230790167005317,0.974850340398879,0.982894438073136
"ANXA2_HUMAN;AXA2L_HUMAN",0.0382957292968643,0.954693019514223,0.972113498966598
"ANXA3_HUMAN",0.346420681006668,0.109030004420785,0.251344294110729
"AP180_HUMAN",-0.213264085147555,0.72076991715528,0.840287673430711
"AP180_HUMAN;PICAL_HUMAN",-0.534881887293796,0.43076490771559,0.602285595136091
"AP1M1_HUMAN",-0.529508365110293,0.00174662778572297,0.0235666322558944
"AP1M1_HUMAN;AP1M2_HUMAN",-0.380702743396953,0.289425651665245,0.468338686777535
"AP1S1_HUMAN",0.522340578868699,0.0129734413067168,0.0758161299293801
"AP2A2_HUMAN",0.155048896720737,0.696062865788739,0.827250880001513
"AP2B1_HUMAN",-0.70195173405639,0.106594382773134,0.248608434823667
"AP2M1_HUMAN",-0.0348691104430324,0.945795373909486,0.969230295228762
"AP2S1_HUMAN",0.63325012907974,0.102117562019673,0.243991831127734
"AP3B2_HUMAN",0.294844141928095,0.453220578828715,0.623900796812223
"AP3M2_HUMAN",-0.152479710388268,0.715090622817049,0.837390742099097
"APBA2_HUMAN",0.603983794788229,0.340891676043956,0.520846149492639
"APBB1_HUMAN",0.506650210337337,0.129283328522,0.279758146035223
"API5_HUMAN",-0.884020346666837,0.00442542364449222,0.0424564708727889
"APLP1_HUMAN",-0.540220298576666,0.0637921788256676,0.186399121250159
"APOA2_HUMAN",1.61277755946474,0.00223748473312445,0.0273718965685557
"APOC3_HUMAN",2.00667167689563,0.0147668236546366,0.0823620711436417
"APOD_HUMAN",-0.68775919980231,0.173714253740423,0.342023235636992
"APOL2_HUMAN",NA,NA,NA
"APT_HUMAN",-1.03606220355738,0.0234508509107257,0.105730494892338
"AQP1_HUMAN",0.779678292552382,0.103427114106955,0.245389475001172
"AQP4_HUMAN",0.372972446482662,0.307880144046159,0.487454757829769
"AR6P1_HUMAN",-1.09741587938046,0.0759407014678259,0.206171017232896
"AR6P4_HUMAN",-0.258342368668586,0.712804935952771,0.835407247555409
"ARCH_HUMAN",NA,NA,NA
"ARF4_HUMAN",-0.994856844721542,0.178397312353428,0.348490247566176
"ARF4_HUMAN;ARF5_HUMAN",0.541818101205682,0.139320581053115,0.295789838773393
"ARFG1_HUMAN",0.723583121183286,0.00117267294843019,0.0182360581387237
"ARFG2_HUMAN",0.089164015643425,0.65134143496744,0.79153081666573
"ARFP2_HUMAN",0.425489103381996,0.0979532950528736,0.237646739854113
"ARHG1_HUMAN",NA,NA,NA
"ARHG2_HUMAN",-0.346387812991942,0.200662036846461,0.374202070745178
"ARHG7_HUMAN",0.398994023256432,0.201926823898461,0.375036155722344
"ARHG9_HUMAN",0.104133013318864,0.739973155297803,0.855069735498406
"ARHGA_HUMAN",-1.93840690442982,0.00585614339017908,0.0490070319087735
"ARHGC_HUMAN",0.361984518004155,0.0183602055938545,0.0899276046799265
"ARI1B_HUMAN",NA,NA,NA
"ARK72_HUMAN",-0.296059173049199,0.251762256602383,0.431522133528469
"ARL1_HUMAN",-1.00078012439201,0.0125847144622911,0.0757313972305372
"ARL15_HUMAN",0.534046568127611,0.148060515012229,0.30769087774342
"ARLY_HUMAN",-0.746846180135218,0.0251015527729922,0.109248899815676
"ARM10_HUMAN",-0.0406081296047832,0.857855278416822,0.930907413302701
"ARMC8_HUMAN",0.0508413690766589,0.829083936744903,0.908765812704246
